signal_id,app_id,review_text,review_score,review_date,helpful_count
pm_app1_review_74,1,"Really, really horrible experience on both the app and the website. I wasn't even able to complete 1 simple transfer. It kept logging me off, even when I was actively using the website. On the rare occasion when I got to the final stage before submitting the transfer, I'd click ""Next"" and...nothing would happen. I spoke to 2 different customer support agents, and the extent of their advice was to clear my cache/cookies, delete all my payment info, and start again. Didn't help at all.",1,2019-12-11,258
pm_app1_review_75,1,"Still buggy after 7 more years of development. The photograph-to-add-card function DOES NOT WORK. ----- (original rewiew follows): I have just spent 45 minutes JUST ON THE REGISTRATION PROCESS. App keeps stalling, or throws an error, or won't advance even though an option changes from inactive to activate (gray to blue).",1,2022-06-28,0
pm_app1_review_76,1,"When I started using it was very helpful now it has a lot of issues verifying debit cards even bank accounts 😑. What's the point of having an app that is totally useless. They should get rid of this app and be honest with people, instead of having you to comple a whole process to pay or transfer just to tell you at the end of it ""SORRY WE CAN'T PROCESS YOUR TRANSACTION AT THIS MOMENT GO TO THE NEAREST WESTERN UNION LOCATION"". If I could give them zero stars I would. This is a waste of time.",1,2021-06-10,63
pm_app1_review_77,1,Took for ever to send a transfer because I kept getting errors and it was because the permissions in my settings were turned off for certain things but it took me hours to figure it out since I did t have a car to send the money at a location. So if you are having issues make sure to accept all cookies and give all permissions on your cell phone.,1,2024-08-02,4
pm_app1_review_78,1,"So I've been trying to pick up cash, through the app, as the store required me to. And for 2 days I have been unable to push the ""next"" button and can't complete it. So I can't get my money. I'm frustrated as it is money I need and the sender spent 45 dollars sending it to me. I'm out of ideas and need the money. I called the customer service. They did nothing, other then hang up on me, twice. And tell me to uninstall and reinstall... Which I've done 3 times and nothing.",1,2019-12-15,1
pm_app1_review_79,1,"Frequent issues with sending money abroad, poor customer service, high rates. I switched to Xoom who provides far smoother and easier experience, no longer need to go any physical location, excellent customer care. Western needs to improve his service and decrease costs otherwise will continue to lose business to the competition",1,2019-12-27,1
pm_app1_review_80,1,Use to work. Now it always has error problems. Was nice to not having to go into an office to send money but now I have no choice. Everytime I try to use it there is an error message. From technical issues to now my ccv number is wrong. Which it is not! I never had these problems before. I liked the easy of use it did offer but now it is very buggy. I have had these problems for over three months now,1,2019-02-08,7
pm_app1_review_81,1,"Not very user friendly, it takes forever to do a transaction when you're trying to redeem points, and still doesn't always work, they tell you you're earning points, but you cannot redeem them. The app doesn't tell you what's wrong with the transaction, just keeps conveniently dismissing the discount code . I just finished another transaction, and still couldn't get the discount, but you don't find out until you have paid for the whole thing. Very frustrating.",1,2022-01-28,53
pm_app1_review_82,1,"I've never dealt with an app that constantly kicks you out in the middle of it. Something that should take me a couple of minutes takes 10-15. It's just crazy. There are so many things that honestly should be simpler than they are made to be. Its ridiculous. So I was pretty much forced to find some other form of transferring or sending money. I use money transfer apps often. This is the last time you will get my business. Paypal is amazing. Easier for me to send, cheaper for me to send.",1,2020-09-04,4
pm_app1_review_83,1,"You ask me to rate your app 3 seconds after the transaction, I don't rate anything until the transaction is completed, so for your arrogant persistent pestering, I will rate you a 1, I would rate you zero if the option was available, not to mention your outrageous fees on my end and another 18% on the receivers end! Highway robbery is what that's called!!!!",1,2024-12-15,0
pm_app1_review_84,1,"Slow and basic. Not user friendly for Latinamerican countries, or any country where you have more than one name and surname. I literally have to call in every time I make a transfer to my family to correct the names. Even though I enter them correctly in order on the app. Then when you call in to get help,.it's all recording and it takes you shouting ""talk to a representative"" at least 5 times to be able to talk to human being. I use this out of necessity, but I will be making other arrangements",1,2023-09-17,12
